Sequela,Health state name,Health state lay description,disability weight,lower,uppper
"Moderate heart failure due to endocrine, metabolic, blood, and immune disorders","Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.072,0.047,0.103
"Asymptomatic and mild heart failure due to endocrine, metabolic, blood, and immune disorders","Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041,0.026,0.062
"Mild anemia due to endocrine, metabolic, blood, and immune disorders","Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
"Mild endocrine, metabolic, blood, and immune disorders",Hypothyroidism,has low energy and feels cold.,0.019,0.01,0.032
"Moderate anemia due to endocrine, metabolic, blood, and immune disorders","Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
"Severe heart failure due to endocrine, metabolic, blood, and immune disorders","Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179,0.122,0.251
"Moderate endocrine, metabolic, blood, and immune disorders",Hyperthyroidism,"feels nervous, has palpitations, sweats a lot and has difficulty sleeping.",0.145,0.096,0.202
Moderate rheumatoid arthritis,"Musculoskeletal problems, generalized, moderate","has pain and deformity in most joints, causing difficulty moving around, getting up and down, and using the hands for lifting and carrying. The person often feels fatigue.",0.317,0.216,0.44
Mild rheumatoid arthritis,"Musculoskeletal problems, upper limbs, moderate","has moderate pain and stiffness in the arms and hands, which causes difficulty lifting, carrying, and holding things, and trouble sleeping because of the pain.",0.117,0.08,0.163
Severe rheumatoid arthritis,"Musculoskeletal problems, generalized, severe","has severe, constant pain and deformity in most joints, causing difficulty moving around, getting up and down, eating, dressing, lifting, carrying and using the hands. The person often feels sadness, anxiety and extreme fatigue.",0.581,0.403,0.739
Moderate osteoarthritis of the knee,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.079,0.054,0.11
Severe osteoarthritis of the hip,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.165,0.112,0.232
Severe osteoarthritis of the knee,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.165,0.112,0.232
Mild osteoarthritis of the knee,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.023,0.013,0.037
Moderate osteoarthritis of the hip,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.079,0.054,0.11
Mild osteoarthritis of the hip,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.023,0.013,0.037
Mild low back pain without leg pain,"Low back pain, mild","has mild back pain, which causes some difficulty dressing, standing, and lifting things.",0.02,0.011,0.035
Moderate low back pain without leg pain,"Low back pain, moderate","has moderate back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things.",0.054,0.035,0.079
Most severe low back pain with leg pain,"Back pain, most severe, with leg pain","has constant back and leg pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly, is worried, and has lost some enjoyment in life.",0.384,0.256,0.518
Most severe low back pain without leg pain,"Back pain, most severe, without leg pain","has constant back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly, is worried, and has lost some enjoyment in life.",0.372,0.25,0.506
Severe low back pain with leg pain,"Back pain, severe, with leg pain","has severe back and leg pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly and feels worried.",0.325,0.219,0.446
Severe low back pain without leg pain,"Back pain, severe, without leg pain","has severe back pain, which causes difficulty dressing, sitting, standing, walking, and lifting things. The person sleeps poorly and feels worried.",0.272,0.182,0.373
Mild low back pain with leg pain,Mild low back pain with leg pain,(combined DW),0.02,0.011,0.035
Moderate low back pain with leg pain,Moderate low back pain with leg pain,(combined DW),0.054,0.035,0.079
Severe neck pain,"Neck pain, severe","has severe neck pain, and difficulty turning the head and lifting things. The person gets headaches and arm pain, sleeps poorly, and feels tired and worried.",0.229,0.153,0.317
Most severe neck pain,"Neck pain, most severe","has constant neck pain and arm pain, and difficulty turning the head, holding arms up, and lifting things. The person gets headaches, sleeps poorly, and feels tired and worried. ",0.304,0.202,0.415
Moderate neck pain,"Neck pain, moderate","has constant neck pain, and has difficulty turning the head, holding arms up, and lifting things",0.114,0.075,0.162
Mild neck pain,"Neck pain, mild","has neck pain, and has difficulty turning the head and lifting things.",0.053,0.034,0.078
Asymptomatic gout,Asymptomatic,--,,,
Polyarticular gout,"Musculoskeletal problems, generalized, severe","has severe, constant pain and deformity in most joints, causing difficulty moving around, getting up and down, eating, dressing, lifting, carrying and using the hands. The person often feels sadness, anxiety and extreme fatigue.",0.581,0.403,0.739
Symptomatic episodes of gout,"Gout, acute","has severe pain and swelling in the leg, making it very difficult to get up and down, stand, walk, lift, and carry heavy things. The person has trouble sleeping because of the pain. ",0.295,0.196,0.409
Other musculoskeletal disorders severity level 5,"Musculoskeletal problems, generalized, moderate","has pain and deformity in most joints, causing difficulty moving around, getting up and down, and using the hands for lifting and carrying. The person often feels fatigue.",0.317,0.216,0.44
Other musculoskeletal disorders severity level 4,"Musculoskeletal problems, lower limbs, severe","has severe pain in the leg, which makes the person limp and causes a lot of difficulty walking, standing, lifting and carrying heavy things, getting up and down, and sleeping.",0.165,0.112,0.232
Other musculoskeletal disorders severity level 6,"Musculoskeletal problems, generalized, severe","has severe, constant pain and deformity in most joints, causing difficulty moving around, getting up and down, eating, dressing, lifting, carrying and using the hands. The person often feels sadness, anxiety and extreme fatigue.",0.581,0.403,0.739
Asymptomatic other musculoskeletal disorders,Asymptomatic,--,,,
Other musculoskeletal disorders severity level 3,"Musculoskeletal problems, upper limbs, moderate","has moderate pain and stiffness in the arms and hands, which causes difficulty lifting, carrying, and holding things, and trouble sleeping because of the pain.",0.117,0.08,0.163
Other musculoskeletal disorders severity level 2,"Musculoskeletal problems, upper limbs, mild","has mild pain and stiffness in the arms and hands. The person has some difficulty lifting, carrying and holding things.",0.028,0.017,0.045
Other musculoskeletal disorders severity level 1,"Musculoskeletal problems, lower limbs, mild","has pain in the leg, which causes some difficulty running, walking long distances, and getting up and down.",0.023,0.013,0.037
"Severe motor impairment, severe intellectual disability and incontinence due to spina bifida",Severe motor impairment with severe intellectual disability and incontinence,(combined DW),0.564,0.418,0.71
"Severe motor impairment, moderate intellectual disability and incontinence due to spina bifida",Severe motor impairment with moderate intellectual disability and incontinence,(combined DW),0.534,0.391,0.675
"Severe motor impairment, moderate intellectual disability and incontinence due to encephalocele",Severe motor impairment with moderate intellectual disability and incontinence,(combined DW),0.534,0.391,0.675
"Severe motor impairment, borderline intellectual disability and incontinence due to encephalocele","Severe motor impairment, borderline intellectual functioning, and urinary incontinence",(combined DW),0.489,0.353,0.632
"Severe motor impairment, profound intellectual disability and incontinence due to encephalocele",Severe motor impairment with severe intellectual disability and incontinence,(combined DW),0.564,0.418,0.71
"Severe motor impairment, mild intellectual disability and incontinence due to encephalocele",Severe motor impairment with mild intellectual disability and incontinence,(combined DW),0.505,0.367,0.647
